Wizard Step,Screen/Section,UI Field Label,sObject,Applicant Field API,Account Field API,Field Status,Field Type,Is in LWC,Is in Salesforce,Is Being Persisted,Notes
Personal Information,Person - Identity,Salutation,Applicant,Salutation,Salutation,Standard,Picklist,FALSE,TRUE,FALSE,Values: Mr. Mrs. Ms. Dr. Prof. - NOT in current LWC
Personal Information,Person - Identity,First Name,Applicant,FirstName,FirstName,Standard,Text,TRUE,TRUE,FALSE,Required - IN LWC - stub persistence
Personal Information,Person - Identity,Middle Name,Applicant,MiddleName,MiddleName,Standard,Text,FALSE,TRUE,FALSE,Optional - NOT in current LWC
Personal Information,Person - Identity,Last Name,Applicant,LastName,LastName,Standard,Text,TRUE,TRUE,FALSE,Required - IN LWC - stub persistence
Personal Information,Person - Identity,Suffix,Applicant,Suffix,Suffix,Standard,Picklist,FALSE,TRUE,FALSE,Values: Jr. Sr. II III IV - NOT in current LWC
Personal Information,Person - Identity,Phonetic Name (Checkbox),Applicant,Has_Phonetic_Name__c,Has_Phonetic_Name__c,Custom,Checkbox,FALSE,UNKNOWN,FALSE,Indicates if phonetic spelling exists - NOT in current LWC
Personal Information,Person - Identity,Phonetic Name,Applicant,Phonetic_Name__c,Phonetic_Name__c,Custom,Text(120),FALSE,UNKNOWN,FALSE,Displays when checkbox is true - NOT in current LWC
Personal Information,Person - Identity,Birth Date,Applicant,BirthDate,PersonBirthdate,Standard,Date,TRUE,TRUE,FALSE,Required for CIP/KYC - IN LWC - stub persistence
Personal Information,Person - Identity,Nickname,Applicant,Nickname__c,Nickname__c,Custom,Text(80),FALSE,UNKNOWN,FALSE,Optional - NOT in current LWC
Personal Information,Person - Identity,Occupation,Applicant,Occupation__c,FinServ__Occupation__pc,Custom/FSC,Picklist,FALSE,UNKNOWN,FALSE,FSC field - NOT in current LWC
Personal Information,Person - Identity,Mother's Maiden Name,Applicant,Mothers_Maiden_Name__c,Mothers_Maiden_Name__c,Custom,Text(80) Encrypted,FALSE,UNKNOWN,FALSE,Security question - encrypted - NOT in current LWC
Personal Information,Person - Identity,Person Type,Applicant,Type,Person_Type__c,Standard,Picklist,FALSE,TRUE,FALSE,Values: Person Organization - NOT in current LWC
Personal Information,Person - Identity,Tax ID (SSN/ITIN),Applicant,Tax_ID__c,FinServ__TaxID__pc,Custom/FSC,Text(11) Encrypted,TRUE,UNKNOWN,FALSE,Masked display (XXX-XX-1234) - IN LWC as SSN - stub persistence
Personal Information,Person - Identity,Tax ID Type,Applicant,Tax_ID_Type__c,Tax_ID_Type__c,Custom,Picklist,FALSE,UNKNOWN,FALSE,Values: SSN ITIN Foreign Tax ID - NOT in current LWC
Personal Information,Person - Identity,Scan ID & Signature,Applicant,N/A,Attachment/Files,N/A,Files,FALSE,N/A,FALSE,Triggers file upload component - NOT in current LWC
Personal Information,Person - Address & Contact,Address Line 1,Applicant,Mailing_Street_Line_1__c,PersonMailingStreet,Custom,Text(255),TRUE,UNKNOWN,FALSE,Required - IN LWC as Street Address - stub persistence
Personal Information,Person - Address & Contact,Address Line 2,Applicant,Mailing_Street_Line_2__c,PersonMailingStreet,Custom,Text(255),FALSE,UNKNOWN,FALSE,Optional - NOT in current LWC
Personal Information,Person - Address & Contact,Country,Applicant,Mailing_Country__c,PersonMailingCountry,Custom,Picklist,FALSE,UNKNOWN,FALSE,Default: USA - NOT in current LWC
