Angular Tab,Angular App Field Name,Comments,API Field Name (snake_case),Angular App Field Name Type,JSON Object,Salesforce API Object/Field Name,Salesforce API Object Name,Salesforce API Field Name
Business Owners,OwnershipCertification,,ownership_certification,Boolean,N/A,None,None,None
Business Details,OwnershipCertification,,ownership_certification,Boolean,N/A,None,None,None
Profile,AddAuthorizedSigners,,add_authorized_signers,Boolean,N/A,None,None,None
applicant,ControllingPartyCertification,,controlling_party_certification,Bool,N/A,None,None,None
Terms and Conditions,SmsOptIn,,sms_opt_in,Boolean,applicant ,Account.SMS_Opt_In__c,Account,SMS_Opt_In__c
Terms and Conditions,TermsVersion,,terms_version,Boolean,N/A,None,None,None
Business Owners,OwnedByOtherLegalEntity,,owned_by_other_legal_entity,Boolean,business,FinServ__AccountAccountRelation__c.FinServ__Account__c,FinServ__AccountAccountRelation__c,FinServ__Account__c
Application Fields,CurrentStep,,current_step,String,application,ApplicationForm.Application_Current_Step__c,ApplicationForm,Application_Current_Step__c
Profile,InternationalATM,,international_atm,Boolean,application                 ,ApplicationForm.International_ATM__c,ApplicationForm,International_ATM__c
Business Activities,OtherUses,,other_uses,String,application,ApplicationForm.Other_Uses__c,ApplicationForm,Other_Uses__c
Application Fields,Stage,,stage,String,application,ApplicationForm.Stage,ApplicationForm,Stage
Terms and Conditions,AcceptTerms,,accept_terms,Boolean,application,ApplicationForm.Terms_And_Conditions_Accepted__c,ApplicationForm,Terms_And_Conditions_Accepted__c
Terms and Conditions,AcceptedAt,,accepted_at,DateTime,application,ApplicationForm.Terms_And_Conditions_Accepted_At__c,ApplicationForm,Terms_And_Conditions_Accepted_At__c
Business Activities,use_payroll_benefits,,use_payroll_benefits,Bool,application,ApplicationForm.Use_Payroll_Benefits__c,ApplicationForm,Use_Payroll_Benefits__c
Business Activities,use_operating,,use_operating,Bool,application,ApplicationForm.Use_Operating__c,ApplicationForm,Use_Operating__c
Business Activities,use_savings,,use_savings,Bool,application,ApplicationForm.Use_Savings__c,ApplicationForm,Use_Savings__c
Profile,WriteOrDepositChecks,,write_or_deposit_checks,Boolean,application,ApplicationForm.Write_Or_Deposit_Checks__c,ApplicationForm,Write_Or_Deposit_Checks__c
BeneficialOwner,DebitCard,,needs_debit_card,Boolean,applicant,Applicant.Needs_Debit_Card__c,Applicant,Needs_Debit_Card__c
BeneficialOwner,OwnerDebitCard,,owner_debit_card,Boolean,applicant,Applicant.Debit_Card_Owner__c,Applicant,Debit_Card_Owner__c
Profile,AuthorizedSigners,,authorized_signers,Signer[],N/A,AccountContactRelation.Authorized_Signer_zen__c,AccountContactRelation,Authorized_Signer__c
Business Owners,YouAreBeneficialOwner,when entity is set to person but setting the applicant_type will accomplish this,you_are_beneficial_owner,Boolean,applicant,AccountContactRelation.Beneficial_Owner_zen__c,AccountContactRelation,Beneficial_Owner_zen__c
Business Owners,YouAreBeneficialOwner,when entity is set to business but setting the applicant_type will accomplish this,you_are_beneficial_owner,Boolean,applicant,Finserv__AccountAccountRelation.Beneficial_Owner_zen__c,Finserv__AccountAccountRelation,Beneficial_Owner_zen__c
Business Owners,PrimaryOwner,,primary_owner,Boolean,applicant,AccountContactRelation.Primary_Owner__c,AccountContactRelation,Primary_Owner__c
ControllingParty,ControllingParty,,controlling_party,Boolean,applicant,AccountContactRelation.Controlling_Party_zen__c,AccountContactRelation,Controlling_Party_zen__c
Business Owners,SelfOwnerPercent,,self_owner_percent,Number,applicant,AccountContactRelation.Self_Ownership_Percentage_zen__c,AccountContactRelation,Self_Ownership_Percentage_zen__c
Beneficial Owner,OwnerPercentage,when entity is set to person,owner_percentage,Number,applicant,AccountContactRelation.Ownership_Percentage_zen__c,AccountContactRelation,Ownership_Percentage_zen__c
Beneficial Owner,OwnerPercentage,when entity is set to business,owner_percentage,Number,applicant,Finser__AccountAccountRelation__c.Ownership_Percentage_zen__c,Finser__AccountAccountRelation__c,Ownership_Percentage_zen__c
Signer,Relationship,,relationship,String,applicant,AccountContactRelation.Relationship_to_Business_zen__c,AccountContactRelation,Relationship_to_Business_zen__c
Business Details,ControllingParty,,controlling_party,String,applicant,AccountContactRelation.Controlling_Party__c,AccountContactRelation,Controlling_Party__c
Business Details,Role,We can use the role to define AccountContactRelation and Finserv__AccountAccountRelation__c junction objects. Contactnate potential values comma separated list,role,String,applicant,AccountContactRelation.Roles,AccountContactRelation,Roles
Business Owners,BusinessOwners,,business_owners,BeneficialOwner[],applicant,AccountContactRelation.Roles,AccountContactRelation,Roles
Documentation,BusinessStory,,business_story,String,business,Account.Business_Story__c,Account,Business_Story__c
Profile,AboutBusiness,,about_business,String,business,Account.About_Business__c,Account,About_Business__c
Profile,AnnualRevenue,,annual_revenue,Picklist,business,Account.Approximate_Gross_Annual_Revenue_zen__c,Account,Approximate_Gross_Annual_Revenue_zen__c
Business Details,City,,billing_mailing_city,String,business,Account.BillingCity,Account,BillingCity
Business Details,Zip,,billing_mailing_zip,Number,business,Account.BillingPostalCode,Account,BillingPostalCode
Business Details,State,,billing_mailing_state,String,business,Account.BillingState,Account,BillingState
Business Details,AddressLine1,,billing_mailing_address_line1,String,business,Account.BillingStreet,Account,BillingStreet
Business Details,AddressLine2,,billing_mailing_address_line2,String,business,Account.BillingStreetAdditional__c,Account,BillingStreetAdditional__c
Business Details,SameAsPersonalAddress,,same_as_personal_address,Boolean,business,Account.Business_Address_same_as_Personal_zen__c,Account,Business_Address_same_as_Personal_zen__c
Business Details,BusinessType,,business_type,String,business,Account.Business_Type__c,Account,Business_Type__c
Personal Info,ChexSystemsConsent,,chex_systems_consent,Boolean,business,Account.ChexSystems_Consent__c,Account,ChexSystems_Consent__c
Personal Info,Residency,,residency,String,business,Account.Citizenship_Status__c,Account,Citizenship_Status__c
Business Owners,ForeignOwnership,,foreign_ownership,Boolean,business,Account.Does_business_have_foreign_ownership_zen__c,Account,Does_business_have_foreign_ownership_zen__c
